Data_Type,Dataset,Imbalance,Pos_Ratio,Algorithm,Method,F1,Accuracy
Separable,Separable,50-50,0.5,PA,Online,0.7124070897655803,0.7485
Separable,Separable,50-50,0.5,PA,Kernel,0.9382219989954796,0.9385
Separable,Separable,50-50,0.5,Perceptron,Online,0.8786610878661087,0.8695
Separable,Separable,50-50,0.5,Perceptron,Kernel,0.9382219989954796,0.9385
Separable,Separable,50-50,0.5,AROW,Online,0.935251798561151,0.9325
Separable,Separable,50-50,0.5,AROW,Kernel,0.8986384266263238,0.8995
Separable,Separable,50-50,0.5,OGC,Online,0.9322033898305084,0.932
Separable,Separable,50-50,0.5,OGC,Kernel,0.9407630522088354,0.941
Separable,Separable,50-50,0.5,SCW,Online,0.9348140994688556,0.9325
Separable,Separable,50-50,0.5,SCW,Kernel,0.8391203703703703,0.861
Separable,Separable,50-50,0.5,RDA,Online,0.8943466172381835,0.886
Separable,Separable,50-50,0.5,RDA,Kernel,0.4095427435387674,0.2575
Separable,Separable,50-50,0.5,AdaRDA,Online,0.6666666666666666,0.5
Separable,Separable,50-50,0.5,AdaRDA,Kernel,0.4063745019920319,0.255
Separable,Separable,70-30,0.7,PA,Online,0.7963875205254516,0.752
Separable,Separable,70-30,0.7,PA,Kernel,0.9728183118741058,0.962
Separable,Separable,70-30,0.7,Perceptron,Online,0.9298429319371728,0.8995
Separable,Separable,70-30,0.7,Perceptron,Kernel,0.9728183118741058,0.962
Separable,Separable,70-30,0.7,AROW,Online,0.9623846699787083,0.947
Separable,Separable,70-30,0.7,AROW,Kernel,0.9309721720274665,0.9045
Separable,Separable,70-30,0.7,OGC,Online,0.956989247311828,0.94
Separable,Separable,70-30,0.7,OGC,Kernel,0.9667262969588551,0.9535
Separable,Separable,70-30,0.7,SCW,Online,0.967605633802817,0.954
Separable,Separable,70-30,0.7,SCW,Kernel,0.8956862745098039,0.867
Separable,Separable,70-30,0.7,RDA,Online,0.9460118425635667,0.9225
Separable,Separable,70-30,0.7,RDA,Kernel,0.5401459854014599,0.37
Separable,Separable,70-30,0.7,AdaRDA,Online,0.8235294117647058,0.7
Separable,Separable,70-30,0.7,AdaRDA,Kernel,0.5281767955801105,0.3595
Separable,Separable,90-10,0.9,PA,Online,0.9293337179117392,0.8775
Separable,Separable,90-10,0.9,PA,Kernel,0.9709821428571429,0.948
Separable,Separable,90-10,0.9,Perceptron,Online,0.9666946543520851,0.9405
Separable,Separable,90-10,0.9,Perceptron,Kernel,0.9709821428571429,0.948
Separable,Separable,90-10,0.9,AROW,Online,0.9801287433529247,0.9645
Separable,Separable,90-10,0.9,AROW,Kernel,0.9749443207126949,0.955
Separable,Separable,90-10,0.9,OGC,Online,0.9785455558651435,0.9615
Separable,Separable,90-10,0.9,OGC,Kernel,0.9760312151616499,0.957
Separable,Separable,90-10,0.9,SCW,Online,0.9852654990269669,0.9735
Separable,Separable,90-10,0.9,SCW,Kernel,0.9633225458468176,0.932
Separable,Separable,90-10,0.9,RDA,Online,0.9698155394074902,0.946
Separable,Separable,90-10,0.9,RDA,Kernel,0.9505160095263298,0.9065
