Dataset,Algorithm,Shuffle,F1
HeartDisease_UCI,K-Perceptron,1,0.0000
HeartDisease_UCI,K-Perceptron,2,0.0000
HeartDisease_UCI,K-Perceptron,3,0.0000
HeartDisease_UCI,K-Perceptron,4,0.0000
HeartDisease_UCI,K-Perceptron,5,0.0000
HeartDisease_UCI,K-Perceptron,6,0.0000
HeartDisease_UCI,K-Perceptron,7,0.0000
HeartDisease_UCI,K-Perceptron,8,0.0000
HeartDisease_UCI,K-Perceptron,9,0.0000
HeartDisease_UCI,K-Perceptron,10,0.0000
HeartDisease_UCI,K-Perceptron,11,0.0000
HeartDisease_UCI,K-Perceptron,12,0.0000
HeartDisease_UCI,K-Perceptron,13,0.0000
HeartDisease_UCI,K-Perceptron,14,0.0000
HeartDisease_UCI,K-Perceptron,15,0.6667
HeartDisease_UCI,K-Perceptron,16,0.0000
HeartDisease_UCI,K-Perceptron,17,0.0000
HeartDisease_UCI,K-Perceptron,18,0.7640
HeartDisease_UCI,K-Perceptron,19,0.0000
HeartDisease_UCI,K-Perceptron,20,0.0000
HeartDisease_UCI,K-Perceptron,21,0.0000
HeartDisease_UCI,K-Perceptron,22,0.0000
HeartDisease_UCI,K-Perceptron,23,0.0000
HeartDisease_UCI,K-Perceptron,24,0.0000
HeartDisease_UCI,K-Perceptron,25,0.0000
HeartDisease_UCI,K-Perceptron,26,0.6500
HeartDisease_UCI,K-Perceptron,27,0.0000
HeartDisease_UCI,K-Perceptron,28,0.0000
HeartDisease_UCI,K-Perceptron,29,0.0000
HeartDisease_UCI,K-Perceptron,30,0.0000
HeartDisease_UCI,K-Perceptron,31,0.7179
HeartDisease_UCI,K-Perceptron,32,0.0000
HeartDisease_UCI,K-Perceptron,33,0.0000
HeartDisease_UCI,K-Perceptron,34,0.0000
HeartDisease_UCI,K-Perceptron,35,0.0000
HeartDisease_UCI,K-Perceptron,36,0.0000
HeartDisease_UCI,K-Perceptron,37,0.0000
HeartDisease_UCI,K-Perceptron,38,0.0000
HeartDisease_UCI,K-Perceptron,39,0.0000
HeartDisease_UCI,K-Perceptron,40,0.7368
HeartDisease_UCI,K-Perceptron,41,0.0000
HeartDisease_UCI,K-Perceptron,42,0.0000
HeartDisease_UCI,K-Perceptron,43,0.0000
HeartDisease_UCI,K-Perceptron,44,0.0000
HeartDisease_UCI,K-Perceptron,45,0.7143
HeartDisease_UCI,K-Perceptron,46,0.7391
HeartDisease_UCI,K-Perceptron,47,0.0000
HeartDisease_UCI,K-Perceptron,48,0.0000
HeartDisease_UCI,K-Perceptron,49,0.0000
HeartDisease_UCI,K-Perceptron,50,0.0000
HeartDisease_UCI,K-Perceptron,51,0.0000
HeartDisease_UCI,K-Perceptron,52,0.0000
HeartDisease_UCI,K-Perceptron,53,0.0000
HeartDisease_UCI,K-Perceptron,54,0.0000
HeartDisease_UCI,K-Perceptron,55,0.0000
HeartDisease_UCI,K-Perceptron,56,0.0000
HeartDisease_UCI,K-Perceptron,57,0.0000
HeartDisease_UCI,K-Perceptron,58,0.0000
HeartDisease_UCI,K-Perceptron,59,0.0000
HeartDisease_UCI,K-Perceptron,60,0.7761
HeartDisease_UCI,K-Perceptron,61,0.7397
HeartDisease_UCI,K-Perceptron,62,0.0000
HeartDisease_UCI,K-Perceptron,63,0.0000
HeartDisease_UCI,K-Perceptron,64,0.0000
HeartDisease_UCI,K-Perceptron,65,0.0000
HeartDisease_UCI,K-Perceptron,66,0.0000
HeartDisease_UCI,K-Perceptron,67,0.0000
HeartDisease_UCI,K-Perceptron,68,0.0000
HeartDisease_UCI,K-Perceptron,69,0.0000
HeartDisease_UCI,K-Perceptron,70,0.0000
HeartDisease_UCI,K-Perceptron,71,0.0000
HeartDisease_UCI,K-Perceptron,72,0.0000
HeartDisease_UCI,K-Perceptron,73,0.0000
HeartDisease_UCI,K-Perceptron,74,0.0000
HeartDisease_UCI,K-Perceptron,75,0.0000
HeartDisease_UCI,K-Perceptron,76,0.0000
HeartDisease_UCI,K-Perceptron,77,0.0000
HeartDisease_UCI,K-Perceptron,78,0.0000
HeartDisease_UCI,K-Perceptron,79,0.0000
HeartDisease_UCI,K-Perceptron,80,0.6988
HeartDisease_UCI,K-Perceptron,81,0.0000
HeartDisease_UCI,K-Perceptron,82,0.0000
HeartDisease_UCI,K-Perceptron,83,0.0000
HeartDisease_UCI,K-Perceptron,84,0.0000
HeartDisease_UCI,K-Perceptron,85,0.0000
HeartDisease_UCI,K-Perceptron,86,0.0000
HeartDisease_UCI,K-Perceptron,87,0.0000
HeartDisease_UCI,K-Perceptron,88,0.6377
HeartDisease_UCI,K-Perceptron,89,0.6747
HeartDisease_UCI,K-Perceptron,90,0.0000
HeartDisease_UCI,K-Perceptron,91,0.7470
HeartDisease_UCI,K-Perceptron,92,0.0000
HeartDisease_UCI,K-Perceptron,93,0.0000
HeartDisease_UCI,K-Perceptron,94,0.0000
HeartDisease_UCI,K-Perceptron,95,0.0000
HeartDisease_UCI,K-Perceptron,96,0.0000
HeartDisease_UCI,K-Perceptron,97,0.0000
HeartDisease_UCI,K-Perceptron,98,0.0000
HeartDisease_UCI,K-Perceptron,99,0.0000
