Dataset,Algorithm,Gamma,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,SVs_mean,N_repeats
HeartDisease_UCI,K-Perceptron,0.5000,0.0938,0.2440,0.0920,0.2386,0.0926,0.2401,107.3600,100
HeartDisease_UCI,K-PA,0.5000,0.7346,0.1420,0.7379,0.1417,0.7341,0.1357,197.4600,100
HeartDisease_UCI,K-AROW,0.5000,0.7349,0.1424,0.7382,0.1417,0.7344,0.1358,198.0000,100
HeartDisease_UCI,K-OGC,0.5000,0.7551,0.1433,0.7575,0.1446,0.7547,0.1394,201.7100,100
HeartDisease_UCI,K-RDA,0.5000,0.4377,0.0897,0.9529,0.1685,0.5986,0.1141,201.7100,100
HeartDisease_UCI,K-SCW,0.5000,0.7368,0.0665,0.7264,0.0687,0.7286,0.0490,103.5600,100
HeartDisease_UCI,K-AdaRDA,0.5000,0.7438,0.1442,0.7409,0.1417,0.7402,0.1368,199.4000,100
HeartFailure_UCI,K-Perceptron,0.1000,0.6093,0.0979,0.5820,0.1301,0.5817,0.0789,89.2400,100
HeartFailure_UCI,K-PA,0.1000,0.6562,0.0951,0.5778,0.1162,0.6038,0.0748,155.4500,100
HeartFailure_UCI,K-AROW,0.1000,0.6548,0.1029,0.5711,0.1267,0.5973,0.0862,186.0900,100
HeartFailure_UCI,K-OGC,0.1000,0.7185,0.0764,0.6789,0.0882,0.6935,0.0628,207.0200,100
HeartFailure_UCI,K-RDA,0.1000,0.3226,0.0365,1.0000,0.0000,0.4866,0.0422,209.0000,100
HeartFailure_UCI,K-SCW,0.1000,0.6448,0.1023,0.5731,0.1323,0.5931,0.0887,191.7600,100
HeartFailure_UCI,K-AdaRDA,0.1000,0.7222,0.0918,0.5842,0.0989,0.6383,0.0697,142.5300,100
