Dataset,Algorithm,Precision,Recall,FNR,FPR,F1
CreditFraud_kaggle,AROW,0.0059,0.7200,0.2800,0.1598,0.0117
Crypto_desktop,AROW,0.7029,0.6919,0.3081,0.0820,0.6974
Crypto_smartphone,AROW,0.4515,0.6348,0.3652,0.2360,0.5277
NonEnc_desktop,AROW,0.8898,0.8946,0.1054,0.2406,0.8922
NonEnc_smartphone,AROW,0.8818,0.9065,0.0935,0.3366,0.8940
OutFlash_desktop,AROW,0.9310,0.8426,0.1574,0.0411,0.8846
OutFlash_smartphone,AROW,0.7961,0.8460,0.1540,0.2469,0.8203
OutTLS_desktop,AROW,0.8508,0.8389,0.1611,0.0581,0.8448
OutTLS_smartphone,AROW,0.6795,0.7716,0.2284,0.2661,0.7226
P2P_desktop,AROW,0.9026,0.8625,0.1375,0.0695,0.8821
P2P_smartphone,AROW,0.8034,0.8497,0.1503,0.3409,0.8259
Phishing_desktop,AROW,0.9328,0.9141,0.0859,0.1891,0.9233
Phishing_smartphone,AROW,0.9253,0.9106,0.0894,0.7652,0.9179
CreditFraud_kaggle,AdaRDA,0.0013,1.0000,0.0000,1.0000,0.0026
Crypto_desktop,AdaRDA,0.7312,0.8315,0.1685,0.0858,0.7782
Crypto_smartphone,AdaRDA,0.6670,0.8507,0.1493,0.1300,0.7478
NonEnc_desktop,AdaRDA,0.8882,0.9345,0.0655,0.2556,0.9107
NonEnc_smartphone,AdaRDA,0.8496,0.9528,0.0472,0.4673,0.8982
OutFlash_desktop,AdaRDA,0.8313,0.9422,0.0578,0.1259,0.8833
OutFlash_smartphone,AdaRDA,0.8084,0.9411,0.0589,0.2542,0.8697
OutTLS_desktop,AdaRDA,0.7919,0.8966,0.1034,0.0930,0.8410
OutTLS_smartphone,AdaRDA,0.7902,0.8604,0.1396,0.1670,0.8238
P2P_desktop,AdaRDA,0.8370,0.9402,0.0598,0.1366,0.8856
P2P_smartphone,AdaRDA,0.7983,0.9200,0.0800,0.3811,0.8549
Phishing_desktop,AdaRDA,0.8237,0.9699,0.0301,0.5962,0.8908
Phishing_smartphone,AdaRDA,0.9455,0.9858,0.0142,0.5913,0.9652
CreditFraud_kaggle,GLC,0.7215,0.7600,0.2400,0.0004,0.7403
Crypto_desktop,GLC,0.8678,0.8688,0.1312,0.0371,0.8683
Crypto_smartphone,GLC,0.8396,0.8420,0.1580,0.0492,0.8408
