Data_Type,Dataset,Imbalance,Pos_Ratio,Algorithm,Method,F1,Accuracy
Linear,Linear,50-50,0.5,PA,Linear,0.7124070897655803,0.7485
Linear,Linear,50-50,0.5,PA,Kernel,0.9550731953558809,0.9555
Linear,Linear,50-50,0.5,Perceptron,Linear,0.8786610878661087,0.8695
Linear,Linear,50-50,0.5,Perceptron,Kernel,0.9382219989954796,0.9385
Linear,Linear,50-50,0.5,AROW,Linear,0.935251798561151,0.9325
Linear,Linear,50-50,0.5,AROW,Kernel,0.8986384266263238,0.8995
Linear,Linear,50-50,0.5,OGC,Linear,0.9322033898305084,0.932
Linear,Linear,50-50,0.5,OGC,Kernel,0.9407630522088354,0.941
Linear,Linear,50-50,0.5,SCW,Linear,0.6666666666666666,0.5
Linear,Linear,50-50,0.5,SCW,Kernel,0.839724680432645,0.837
Linear,Linear,50-50,0.5,RDA,Linear,0.6666666666666666,0.5
Linear,Linear,50-50,0.5,RDA,Kernel,0.6666666666666666,0.5
Linear,Linear,50-50,0.5,AdaRDA,Linear,0.6666666666666666,0.5
Linear,Linear,50-50,0.5,AdaRDA,Kernel,0.6666666666666666,0.5
Linear,Linear,70-30,0.7,PA,Linear,0.7963875205254516,0.752
Linear,Linear,70-30,0.7,PA,Kernel,0.9723717258701112,0.9615
Linear,Linear,70-30,0.7,Perceptron,Linear,0.9298429319371728,0.8995
Linear,Linear,70-30,0.7,Perceptron,Kernel,0.9728183118741058,0.962
Linear,Linear,70-30,0.7,AROW,Linear,0.9623846699787083,0.947
Linear,Linear,70-30,0.7,AROW,Kernel,0.9309721720274665,0.9045
Linear,Linear,70-30,0.7,OGC,Linear,0.956989247311828,0.94
Linear,Linear,70-30,0.7,OGC,Kernel,0.9667262969588551,0.9535
Linear,Linear,70-30,0.7,SCW,Linear,0.8235294117647058,0.7
Linear,Linear,70-30,0.7,SCW,Kernel,0.9082969432314411,0.874
Linear,Linear,70-30,0.7,RDA,Linear,0.8235294117647058,0.7
Linear,Linear,70-30,0.7,RDA,Kernel,0.8235294117647058,0.7
Linear,Linear,70-30,0.7,AdaRDA,Linear,0.8235294117647058,0.7
Linear,Linear,70-30,0.7,AdaRDA,Kernel,0.8235294117647058,0.7
Linear,Linear,90-10,0.9,PA,Linear,0.9293337179117392,0.8775
Linear,Linear,90-10,0.9,PA,Kernel,0.9783212896053363,0.961
Linear,Linear,90-10,0.9,Perceptron,Linear,0.9666946543520851,0.9405
Linear,Linear,90-10,0.9,Perceptron,Kernel,0.9709821428571429,0.948
Linear,Linear,90-10,0.9,AROW,Linear,0.9801287433529247,0.9645
Linear,Linear,90-10,0.9,AROW,Kernel,0.9749443207126949,0.955
Linear,Linear,90-10,0.9,OGC,Linear,0.9785455558651435,0.9615
Linear,Linear,90-10,0.9,OGC,Kernel,0.9760312151616499,0.957
Linear,Linear,90-10,0.9,SCW,Linear,0.9473684210526315,0.9
Linear,Linear,90-10,0.9,SCW,Kernel,0.9760712298274903,0.957
Linear,Linear,90-10,0.9,RDA,Linear,0.9488683989941324,0.9085
Linear,Linear,90-10,0.9,RDA,Kernel,0.9473684210526315,0.9
Linear,Linear,90-10,0.9,AdaRDA,Linear,0.9480949751518498,0.906
Linear,Linear,90-10,0.9,AdaRDA,Kernel,0.9473684210526315,0.9
Non-Linear,OverlapGauss,50-50,0.5,PA,Linear,0.39271255060728744,0.4
Non-Linear,OverlapGauss,50-50,0.5,PA,Kernel,0.9443882709807887,0.945
Non-Linear,OverlapGauss,50-50,0.5,Perceptron,Linear,0.8764822134387352,0.875
Non-Linear,OverlapGauss,50-50,0.5,Perceptron,Kernel,0.9362129583124058,0.9365
Non-Linear,OverlapGauss,50-50,0.5,AROW,Linear,0.9043133366385722,0.9035
Non-Linear,OverlapGauss,50-50,0.5,AROW,Kernel,0.9570170895908856,0.9585
Non-Linear,OverlapGauss,50-50,0.5,OGC,Linear,0.8509378084896347,0.849
Non-Linear,OverlapGauss,50-50,0.5,OGC,Kernel,0.929718875502008,0.93
Non-Linear,OverlapGauss,50-50,0.5,SCW,Linear,0.6666666666666666,0.5
Non-Linear,OverlapGauss,50-50,0.5,SCW,Kernel,0.9367088607594937,0.935
Non-Linear,OverlapGauss,50-50,0.5,RDA,Linear,0.697942980873331,0.5815
Non-Linear,OverlapGauss,50-50,0.5,RDA,Kernel,0.6666666666666666,0.5
Non-Linear,OverlapGauss,50-50,0.5,AdaRDA,Linear,0.6964671953857245,0.579
Non-Linear,OverlapGauss,50-50,0.5,AdaRDA,Kernel,0.6666666666666666,0.5
Non-Linear,OverlapGauss,70-30,0.7,PA,Linear,0.47544545849630593,0.3965
Non-Linear,OverlapGauss,70-30,0.7,PA,Kernel,0.9559613319011815,0.9385
Non-Linear,OverlapGauss,70-30,0.7,Perceptron,Linear,0.9178779069767442,0.887
Non-Linear,OverlapGauss,70-30,0.7,Perceptron,Kernel,0.945597709377237,0.924
Non-Linear,OverlapGauss,70-30,0.7,AROW,Linear,0.9354136429608128,0.911
Non-Linear,OverlapGauss,70-30,0.7,AROW,Kernel,0.9626676332004349,0.9485
Non-Linear,OverlapGauss,70-30,0.7,OGC,Linear,0.918705035971223,0.887
Non-Linear,OverlapGauss,70-30,0.7,OGC,Kernel,0.9391553328561203,0.915
Non-Linear,OverlapGauss,70-30,0.7,SCW,Linear,0.8235294117647058,0.7
